Sender ID,Sender Title,Date,Text
1408956213,,2021-09-25 09:58:16+00:00,"السلام عليكم انا فاطمه 
عمري 26 عام من السعوديه 
وأعيشي فى إسبانيا 
رح أحكيلكم قصت التى كانت بدايتها 
قبل 10سنوات عندما كان عمري 16سنه
عندما كنت عائده للمنزل من سهره ليليه
كنت اشعر بشخص يمشى ورائي
ولكن لم التفت
وعندما عدت إلى المنزل 
دخلت غرفتى والقيت بنفسي على الفراش
ونمت بسرعه وبعد ساعات 
استيقظت بسبب وجع في كتفي الأيسر 
وشعرت انه شخصا معي على الفراش
وعندما رفعت رأسي لم أجد أيه شيئ
دخلت الحمام لأننى شعرت بثقل فى نفسي
وعندما خرجت عدت إلى النوم ولم ألقي بالا لما حصل
وفى الصباح وجدت أننى قد تجردت من لباسي
ولم ألقي بالا للأمر لأننى لم أكن أؤمن بالجن
وعندما كنت ذاهبه إلى المدرسة 
كنت أشعر با شخص يتبعني 
وعندما التفت لم أجد أيه شخص ورائي
وعندما التقيت ابنة عمى ساره أخبرتها بالأمر
اخبرتنى انه مجرد خيال بسبب البارحه 
لأننا فى ذالك الوقت كنا نُكذِّب من يؤمن بالجن
ومن ثم عرضت علييّ إبنت عمى ان أنام لليلة معها

ذهبت إلى أمى وأخبرتها بالأمر 
وفى تلكة الليله شاهدنا أفلام 
بعضها مخل للأدب وبعضها يحتوي على مشاهد رعب
ونمنا تكله اليله بعده سهر طويل 
وعندما دخلت الحمام كأنه شعري يتحرك
حتى أنه الحمام لاتدخله الرياح
فخرجت وكنت مرعوبه 
ولم اخبر ساره بما حصل 
وعندما نمنا تلك الليله استيقظت بسبب ثقل على جسدى وسمعت أنفاس شخص 
ومن شدت خوفى التفت ببطء 
وكانت الصدمه عندما رأيت رجل 
فصرخت....يتبع"
1408956213,,2021-09-25 09:54:30+00:00,
1408956213,,2021-09-25 09:54:30+00:00,
1408956213,,2021-09-25 09:54:23+00:00,"بس انا كنت اقذر من الشيطان وانتهكت حرمة الجسم، الجسم الميت، والمخدرات قدرت تخليني استمتع باللي بعمله وكأني في عالم تاني من النشوة، وخدت اللي انا عايزه منها، وجه وقت الانتقام.. 

شوية بنزين على الجثمان وولعت فيه، وفي لحظات كنت بهرب من المكان كله، يالا يا حمدان انت وابنك والمشرف، احلى ورطة مع الحكومة وأهل الست الميتة، ورجعت تاني مكاني وبدأت أشرب اكتر واكتر 
بعض الناس شافوا الدخان اللي جاي من المقابر وجريوا على المكان عشان يشوفوا اللي بيحصل، وكانت الكارثة في انتظارهم، وبلغوا الشرطة اللي جت فورا عشان ممكن تحصل مجزرة لو أهل الست وصلوا قبلهم، ممكن يحرقوا المقابر باللي فيها.. 

وبدأت سلسلة من التحقيقات الضخمة وتفريغ لكاميرات المراقبة للمحلات اللي حولين المقابر، وطبعا اسم المجرم اتذكر انه اتطرد من اسابيع من الشغل وممكن يكون هو اللي عمل كدا.. 

واللي كل الناس متأكدة منه ان الحكومة لو عايزة تجيب فلان هتجيبه، استدعاء لكل المسجلين وببساطة دلهم شخص على المجرم اللي كان بيشتغل عند تاجر مخدرات، وقبضت الحكومة على المجرم اللي فوجئ بنفسه بين ايدين اقراد الشرطه
أحد المخبرين بيقول ان الزنزانة اللي اتحبس فيها المجرم بتيجي منها صرخات غريبة بالليل كأن فيه حد بيولع فيه جوة، لدرجة ان العساكر بتاعة الحراسة بقت مرعوبة تقرب من الزنزانة.. 

وفيه كلام بيتقال ان الراجل جسمه فعلا بيتحرق وهو عايش كأن فيه حد بيعذبه بالنار جوة الزنزانة، الراجل في خلال ايام بدأ جسمه يسود ويتحلل بطريقة غريبة.. 

البعض بيقول ان العقاب الالهي هينزل قريب اوي، والاسباب كتير اوي ان الشخص ده يشوف الجحيم في الدنيا قبل الأخرة.. 

منها انه عبث بعالم الأموان وانتهك حرماتهم، ومنها انه دخل لمعقل ارض الجن والشياطين، وقبل كل ده انه حارب رب السماوات والأرض وعمل جريمة بشعة، وان جهنم بتسعر لكل االي بيحارب ربنا في ملكه.. 

أما بخصوص السؤال اللي سأله البعض:

عملت ايه الست دي في حياتها عشان يحصل معاها كل ده ؟؟ 
مش شرط خالص تكون عملت حاجة، بل ممكن يكون البلاء ده سبب انها تدخل الجنة او مكانتها تترفع في الجنة، الله أعلم بحال عباده وهو الحكم العدل فبلاش تظن اطلاقا في شخص بقا في عالم البرزخ، ومتنساش ان المخدرات هي السبيل الأكبر للهلاك في الدنيا والأخرة.
.............. 
محبتش اعيد وازيد في احداث يقال انها حدثت بالفعل، كفاية ان الفكرة وصلتك وانت تقدر تبني وجهة نظرك بنفسك"
1408956213,,2021-09-25 09:54:23+00:00,"""انا قررت انتقم، حتى لو هغتصب الجثث""

كلام ممكن تفتكره من فيلم خيال علمي لمخرج سادي حقير، أو يمكن لو سمعت الجملة دي من شخص هتشفق عليه وتتعجب ان ازاي مستشفى الأمراض النفسية مش شايفة شغلها كويس، ويمكن تقول ان جملة زي دي تتقال في قعدة شباب مشافوش باتنين جنيه تربية.. 

بس خليني اقولك ان انا واعي لكل اللي بقوله ده، بل وعارف بدايته فين ونهايته فين، وبلاش تعيش في دور مدعي الفضيلة اللي بيتقزز من شرور البشر، انت نفسك بتتمنى تقتل، سواء شخص بتكرهه، مراتك، حد بيضايقك في حياتك، ويمكن حابب تجرب لذة القتل.. 

بس اللي مانعك يا صديقي مش مبادئك، انت معندكش مبدأ اصلا، اللي مانعك هي الحاجة اللي الكلب بيشم ريحتها جواك، ايوة اللي مانعك هو الخوف، سواء خوف من الشرطة أو من أهل القتيل.. 

اما لو حد ضمنلك انك هتقتل ومحدش هيقرب منك وقتها كل الموازين هتتغير في بالك، وقليل اوي اللي هيرفض عشان الدين والمبادئ.. 

وانا كنت عارف السحر اللي بيقضي علي الخوف جواك ويخليك تعمل أي حاجة وانت بتستمتع، مهما كانت الحاجة دي، حتى لو 

حتى لو

حتى لو اغتصاب جثة
فكرة انك تتطرد من شغلك محتاجة ألف دراسة ودراسة على نفسيتك اللي بتتغير وتسود من جوة لأبعد مدى، وكمان انا مبشتغلش في شركة كبيرة عشان تطردوني، انا مجرد تربي بشتغل وبحرس مجموعة مقابر.. 

بقالي اكتر من ست سنين في المكان ده، اتعودت على رفقة الأموات والنوم معاهم ليل نهار، وصدقني لما اقولك ان رفقة الأموان مريحة جدا من معاشرة الاحياء، وبما اني انفصلت عن الحياة وبقيت في عالم تاني، عالم من الصمت بتغلفه ريحة الموت..

فكان الحشيش والأفيون هما الأقرب لقلبي من كل حاجة في الدنيا، حاجات بتخليك تتقبل أي واقع انت ممكن تكون فيه مهما كان، الحشيش بيخليك مبسوط ومش شايل أي هم، والأفيون بيعلي سقف خيالك ويخليك منتبه ومنتشي دايما.. 

وبقيت يوميا بجيب من ناس جمبنا المخدرات دي ومقضي وقتي كله في المقابر، جت جنازة بدفن الميت، مجتش اديني قاعد، ومفيش أي جديد، لحد ما جه المسؤول في مرة عن المنطقة للتفتيش، وطالما هو جاي يفتش ففي حد مبلغ اني بعمل حاجة غلط.. 

وطبعا جه بالليل ولقاني قاعد في اوضتي وسط عواميد الدخان المخدر، والاسوأ اني وقتها كنت مأجر بنت من عزبة جمبنا كانت بتجيلي كل شهر مرتين عشان ادلع نفسي، وقتها بصلي بغضب ومشي، تاني يوم بعتلي وروحتله مكتبه عشان الاقي حمدان معاه، وعرفت ان حمدان اللي عامل فيا الفصل ده عشان يمسك ابنه المقابر وانا اتطرد لأنه كان ماسك المقابر اللي في البلد اللي جمبي.. 

وبدون رغي كتير اتفصلت من الشغل لأني مهمل في شغلي وممكن اتسبب في كوارث، واتهددت انه هيتبلغ عني، وبقيت مرمي في الشارع مليش بيت اصلا، لأني كنت مكتفي بالاوضة اللي في المقابر، وبدأ الغل ياكل في قلبي ناحية حمدان والمشرف، انا مستاهلش اللي حصل فيا ده.. 

انا مظلووم ؟؟ 

ماهو كلهم بيشربوا وبيجيبوا ستات، هي جت عليا، فضلت يومين قاعد في بلد قريبة بتحرك من قهوة لقهوة وانا مش عارف انا ممكن اعمل ايه.. 

في النهاية رحت للي كنت بجيب منه الحشيش وطلبت اشتغل عنده، وفعلا شغلني خدام عنده، اعمله شاي، ارصله حجر، اروح اوصل بضاعة هنا او هنا.. 

ذل، ذل، ذل بعد ما كنت حر نفسي والدنيا معايا كويسة، وفي ليلة واحنا سهرانيين سمعته بيقول:
- انت عرفت يا صابر ان الواد محمود بن حمدان مسك المقابر بتاعة العزبة بدالك
ورغم اني كنت عارف اللي هيحصل بس جسمي ولع من الغضب، نار كانت بتاكل فيا، وفضلت طول الليل بشرب عشان انسا، لدرجة اني شديت سطرين كوك، يعني بودرة.. 

وبدأت وقتها في خيالي اشوف نار وحكومة وحمدان وابوه بيصرخوا من اللي بيحصل فيهم، ومع الخيال الواسع اللي سببه الكوكايين اتكونت في ذهني فكرة خلت ابليس يجمع شياطينه ويقفوا يصقفولي عليها، فعلا الانسان لما بيسمع لنفسه بيبقا اسوأ من الشيطان.. 

وفضلت اراقب المقابر والاموات اللي بيدخلوا، يوم بعد يوم بعد يوم لحد ما جتلي الفرصة، واحدة ست ماتت وهتدفن انهاردة، بيقولوا انها ماتت بسبب الفيروس ده المشهور، بس اياك تكون ماتت مقتولة حتى، انا لازم انتقم.. 

في نفس اليوم بالليل خدت معايا أجنة وشاكوش وروحت على المقابر، مكان مهجور مفيش فيه صريخ ابن يومين، ومحمود بن حمدان قاعد جوة تلاقيه مسطول، دخلت اجري بين حارات المقابر وانا بنهج، بس مكنتش خايف.. 

لأني شربت كتير اوي، شربت لدرجة اني كنت مستمتع كأني بمثل فيلم أكشن، وفعلا وصلت للمقبرة اللي كنت عارف مكانها قبلها، تلت ضربات بحرفنة واتكسر القفل خالص.. 

وحسيت بنشوة اكبر واكبر، دخلت القبر ولقيت الست في كفنها مستورة بستر الموت والكفن، ودخلت زي الشيطان شيلت الجثمان وطلعت بيه برة المقبرة، وفكيت الكفن وشوفتها قدامي، ووقتها حسيت بالشيطان بيغمي عنيه من فظاعة اللي هعمله.."
1408956213,,2021-09-24 19:15:50+00:00,السلام عليكم
1151321549,A7med EhaB,2021-08-04 22:19:45+00:00,بعد ازنكو
1151321549,A7med EhaB,2021-07-31 09:06:00+00:00,
1686691397,,2021-07-14 05:35:46+00:00,
1587207282,os baly,2021-05-21 11:55:46+00:00,
